2026/06/14 15:52:30.105, 0, 0, 74.21
2026/06/14 15:52:31.110, 0, 0, 74.15
2026/06/14 15:52:32.110, 4, 0, 74.15
2026/06/14 15:52:33.110, 385, 0, 98.55
2026/06/14 15:52:34.111, 385, 0, 120.91
2026/06/14 15:52:35.111, 385, 0, 120.89
2026/06/14 15:52:36.112, 3087, 0, 120.94
2026/06/14 15:52:37.112, 3087, 0, 120.88
2026/06/14 15:52:38.112, 4649, 2, 121.11
2026/06/14 15:52:39.112, 5771, 2, 122.35
2026/06/14 15:52:40.113, 30689, 14, 136.15
2026/06/14 15:52:41.113, 30689, 14, 121.85
2026/06/14 15:52:42.113, 30689, 15, 121.78
2026/06/14 15:52:43.113, 30689, 14, 121.81
2026/06/14 15:52:44.114, 30689, 14, 121.70
2026/06/14 15:52:45.114, 34403, 2, 122.88
2026/06/14 15:52:46.114, 42727, 100, 257.93
2026/06/14 15:52:47.114, 42729, 100, 280.38
2026/06/14 15:52:48.115, 42729, 100, 280.60
2026/06/14 15:52:49.115, 42731, 100, 279.95
2026/06/14 15:52:50.115, 42733, 100, 277.92
2026/06/14 15:52:51.115, 42733, 100, 281.03
2026/06/14 15:52:52.116, 42733, 0, 126.18
2026/06/14 15:52:53.116, 32355, 0, 122.18
2026/06/14 15:52:54.116, 32355, 0, 121.30
2026/06/14 15:52:55.116, 32355, 0, 121.18
2026/06/14 15:52:56.119, 32355, 0, 121.22
2026/06/14 15:52:57.120, 32355, 0, 121.11
2026/06/14 15:52:58.120, 32355, 0, 121.10
2026/06/14 15:52:59.120, 32355, 0, 121.07
2026/06/14 15:53:00.121, 32355, 0, 121.02
2026/06/14 15:53:01.121, 34143, 0, 131.74
2026/06/14 15:53:02.121, 35403, 99, 211.87
2026/06/14 15:53:03.121, 35403, 100, 297.68
2026/06/14 15:53:04.121, 35403, 100, 298.51
2026/06/14 15:53:05.122, 35403, 99, 302.04
2026/06/14 15:53:06.123, 35403, 100, 301.30
2026/06/14 15:53:07.124, 35403, 99, 300.32
2026/06/14 15:53:08.124, 35645, 100, 298.88
2026/06/14 15:53:09.124, 36525, 0, 149.59
2026/06/14 15:53:10.124, 36525, 100, 241.40
