2026/06/15 13:52:01.465, 0, 0, 73.15
2026/06/15 13:52:02.470, 0, 0, 73.18
2026/06/15 13:52:03.470, 4, 0, 73.24
2026/06/15 13:52:04.479, 385, 0, 94.10
2026/06/15 13:52:05.479, 385, 0, 118.80
2026/06/15 13:52:06.480, 385, 0, 118.88
2026/06/15 13:52:07.480, 3087, 0, 118.86
2026/06/15 13:52:08.480, 3087, 0, 118.85
2026/06/15 13:52:09.480, 3649, 3, 119.01
2026/06/15 13:52:10.481, 5129, 4, 119.20
2026/06/15 13:52:11.481, 21691, 0, 120.27
2026/06/15 13:52:12.481, 30689, 17, 135.17
2026/06/15 13:52:13.481, 30689, 17, 120.25
2026/06/15 13:52:14.482, 30689, 13, 119.94
2026/06/15 13:52:15.482, 30689, 0, 120.11
2026/06/15 13:52:16.482, 30689, 17, 120.28
2026/06/15 13:52:17.482, 40805, 79, 199.51
2026/06/15 13:52:18.483, 40867, 100, 274.18
2026/06/15 13:52:19.483, 40869, 100, 274.04
2026/06/15 13:52:20.483, 40871, 100, 275.69
2026/06/15 13:52:21.483, 40873, 100, 277.79
2026/06/15 13:52:22.483, 40873, 100, 277.64
2026/06/15 13:52:23.484, 40873, 0, 209.26
2026/06/15 13:52:24.484, 40873, 0, 120.01
2026/06/15 13:52:25.484, 40937, 0, 123.15
2026/06/15 13:52:26.484, 40939, 0, 143.44
2026/06/15 13:52:27.485, 40939, 0, 237.36
2026/06/15 13:52:28.485, 40939, 92, 334.89
2026/06/15 13:52:29.485, 40939, 91, 491.85
2026/06/15 13:52:30.485, 40939, 91, 392.11
2026/06/15 13:52:31.486, 40939, 100, 358.40
2026/06/15 13:52:32.486, 40939, 100, 302.25
2026/06/15 13:52:33.486, 40939, 100, 304.47
2026/06/15 13:52:34.486, 40939, 100, 305.53
2026/06/15 13:52:35.487, 40939, 100, 297.43
2026/06/15 13:52:36.487, 40939, 1, 147.27
2026/06/15 13:52:37.487, 40941, 95, 250.22
2026/06/15 13:52:38.487, 40941, 100, 299.44
2026/06/15 13:52:39.488, 40941, 100, 303.13
2026/06/15 13:52:40.488, 40941, 100, 306.18
2026/06/15 13:52:41.488, 40941, 100, 305.04
2026/06/15 13:52:42.488, 40941, 100, 296.30
2026/06/15 13:52:43.489, 40941, 100, 292.36
2026/06/15 13:52:44.489, 40941, 100, 303.67
2026/06/15 13:52:45.489, 40941, 100, 305.50
2026/06/15 13:52:46.489, 40941, 100, 305.09
2026/06/15 13:52:47.490, 40941, 100, 303.54
2026/06/15 13:52:48.490, 40941, 84, 292.96
2026/06/15 13:52:49.490, 40941, 100, 298.35
2026/06/15 13:52:50.490, 40941, 100, 303.55
2026/06/15 13:52:51.491, 40941, 100, 304.93
2026/06/15 13:52:52.491, 40941, 100, 305.27
2026/06/15 13:52:53.491, 40941, 100, 300.22
2026/06/15 13:52:54.491, 40941, 100, 296.26
2026/06/15 13:52:55.492, 40941, 100, 303.55
2026/06/15 13:52:56.492, 40941, 100, 306.76
2026/06/15 13:52:57.492, 40941, 100, 307.60
2026/06/15 13:52:58.493, 40941, 100, 304.52
2026/06/15 13:52:59.493, 40941, 86, 298.54
2026/06/15 13:53:00.493, 40941, 100, 298.81
2026/06/15 13:53:01.493, 40941, 100, 303.44
2026/06/15 13:53:02.494, 40941, 100, 305.14
2026/06/15 13:53:03.494, 40941, 100, 304.89
2026/06/15 13:53:04.494, 40941, 100, 300.44
2026/06/15 13:53:05.494, 41231, 100, 291.11
2026/06/15 13:53:06.495, 41231, 100, 304.49
2026/06/15 13:53:07.495, 41231, 100, 306.12
2026/06/15 13:53:08.495, 41231, 100, 307.47
2026/06/15 13:53:09.495, 41231, 100, 305.36
2026/06/15 13:53:10.496, 41231, 86, 298.24
2026/06/15 13:53:11.496, 41231, 100, 300.12
2026/06/15 13:53:12.496, 41231, 100, 306.26
2026/06/15 13:53:13.496, 41231, 100, 306.05
2026/06/15 13:53:14.497, 41231, 100, 306.75
2026/06/15 13:53:15.497, 41231, 100, 302.58
2026/06/15 13:53:16.497, 41231, 100, 297.60
2026/06/15 13:53:17.497, 41231, 100, 303.45
2026/06/15 13:53:18.498, 41231, 100, 307.40
2026/06/15 13:53:19.498, 41231, 100, 309.21
2026/06/15 13:53:20.498, 41231, 100, 306.12
2026/06/15 13:53:21.498, 41231, 100, 299.78
2026/06/15 13:53:22.498, 41231, 100, 301.06
2026/06/15 13:53:23.499, 41231, 100, 304.91
2026/06/15 13:53:24.499, 41231, 100, 306.86
2026/06/15 13:53:25.499, 41231, 100, 307.01
2026/06/15 13:53:26.499, 41231, 100, 302.13
2026/06/15 13:53:27.500, 41231, 100, 296.23
2026/06/15 13:53:28.500, 41231, 100, 305.95
2026/06/15 13:53:29.500, 41231, 100, 307.77
2026/06/15 13:53:30.500, 41231, 100, 308.44
2026/06/15 13:53:31.501, 41231, 100, 307.61
2026/06/15 13:53:32.501, 41231, 100, 302.66
2026/06/15 13:53:33.501, 41231, 100, 300.40
2026/06/15 13:53:34.501, 41231, 100, 309.03
2026/06/15 13:53:35.502, 41231, 100, 307.68
2026/06/15 13:53:36.502, 41231, 100, 306.52
2026/06/15 13:53:37.502, 41231, 100, 303.08
2026/06/15 13:53:38.502, 41231, 100, 298.54
2026/06/15 13:53:39.503, 41231, 100, 306.27
2026/06/15 13:53:40.503, 41231, 100, 307.55
2026/06/15 13:53:41.503, 41231, 100, 308.70
2026/06/15 13:53:42.503, 41231, 100, 308.28
2026/06/15 13:53:43.504, 41231, 100, 301.83
2026/06/15 13:53:44.504, 41231, 100, 299.18
2026/06/15 13:53:45.504, 41231, 100, 308.93
2026/06/15 13:53:46.504, 41231, 100, 312.03
2026/06/15 13:53:47.505, 41231, 100, 309.71
2026/06/15 13:53:48.505, 41231, 100, 304.95
2026/06/15 13:53:49.505, 41231, 100, 299.24
2026/06/15 13:53:50.505, 41231, 100, 304.79
2026/06/15 13:53:51.506, 41231, 100, 309.41
2026/06/15 13:53:52.506, 41231, 100, 309.95
2026/06/15 13:53:53.506, 41231, 100, 308.06
2026/06/15 13:53:54.506, 41231, 100, 302.12
2026/06/15 13:53:55.507, 41231, 100, 300.25
2026/06/15 13:53:56.507, 41231, 100, 307.92
2026/06/15 13:53:57.507, 41231, 100, 306.92
2026/06/15 13:53:58.507, 41231, 100, 309.50
2026/06/15 13:53:59.508, 41231, 100, 306.02
2026/06/15 13:54:00.508, 41231, 100, 298.70
2026/06/15 13:54:01.508, 41231, 100, 305.89
2026/06/15 13:54:02.508, 41231, 100, 308.82
2026/06/15 13:54:03.509, 41231, 100, 308.11
2026/06/15 13:54:04.509, 41231, 100, 309.27
2026/06/15 13:54:05.509, 41231, 100, 302.88
2026/06/15 13:54:06.509, 41231, 100, 300.60
2026/06/15 13:54:07.509, 41231, 100, 306.87
2026/06/15 13:54:08.510, 41231, 100, 307.00
2026/06/15 13:54:09.510, 41231, 100, 308.63
2026/06/15 13:54:10.510, 41231, 100, 305.93
2026/06/15 13:54:11.510, 41231, 100, 298.50
2026/06/15 13:54:12.511, 41231, 100, 305.36
2026/06/15 13:54:13.511, 41231, 100, 309.82
2026/06/15 13:54:14.511, 41231, 100, 309.35
2026/06/15 13:54:15.511, 41231, 100, 310.05
2026/06/15 13:54:16.512, 41231, 100, 304.26
2026/06/15 13:54:17.512, 41231, 100, 299.27
2026/06/15 13:54:18.512, 41231, 100, 308.63
2026/06/15 13:54:19.512, 41231, 100, 311.70
2026/06/15 13:54:20.513, 41231, 100, 311.33
2026/06/15 13:54:21.513, 41231, 100, 306.55
2026/06/15 13:54:22.513, 41231, 100, 300.79
2026/06/15 13:54:23.513, 41231, 100, 304.58
